Symbol,MeanLogReturn,StdLogReturn,MinLogReturn,MaxLogReturn
BIRMF,0.017429106262083112,0.0743334412261605,-0.0026560890500532,0.3242396657467632
BIRNF,0.011744399398269099,0.0511926501296349,0.0,0.2231435885671129
BIS,0.0005429102499933528,0.018853883175773214,-0.0459517264280125,0.0216532195887096
BISA,0.045128957661364585,0.2641283804025265,-0.611317165406408,0.7282384407298684
BIT,0.0012441387137816684,0.003993745788082128,-0.0033211715220346,0.0099306060727948
BITB,-0.005950080526136984,0.033129196722994775,-0.0638601514146046,0.0528797166027244
BITC,-0.002149695142443042,0.03359349509758263,-0.0626325268551884,0.0641459412828723
BITCF,0.01676072373484505,0.7555067908198094,-1.29098423423162,1.4916549414528948
BITF,-0.010871395904636828,0.06122401395825185,-0.1431008803204553,0.1183196598060051
BITI,0.0011885043676681415,0.03383202522973262,-0.0695644764723491,0.0555244896205616
BITO,-0.0021344998118826577,0.033487080671775506,-0.0585555810884418,0.0650930385600845
BITQ,-0.010618420785829821,0.04097281947865545,-0.0906966207832569,0.0692318350111683
BITRF,-0.005317488863909848,0.07305170813116527,-0.1477737702381792,0.1849681851308995
BITS,-0.0064952931169884945,0.038602791499445274,-0.092488744220707,0.0633029999548582
BITTF,-0.004787991371149984,0.04901289801759602,-0.098551738672781,0.098551738672781
BITW,-0.005198793311667138,0.08031512716057261,-0.1954281997484017,0.126347073143886
BITX,-0.005427187427099215,0.06585288139949014,-0.1287203215342461,0.1206279754385197
BIV,-6.232552327791064e-05,0.0033799397850680355,-0.0070959680047593,0.0053993154847872
BIVI,-0.013502199042426069,0.07226319496427898,-0.2631910634607834,0.1140280230460845
BIXT,-0.004673881124285317,0.052650502493690514,-0.1526031529845885,0.1004344119666457
BIZD,0.001579871263943763,0.00700214963462104,-0.0098100021947583,0.0240380992141964
BJ,-0.001522899104987326,0.013049843345796433,-0.0263390951680642,0.0217071352429628
BJAN,0.0014654474255357316,0.004421024425022474,-0.0056629363088473,0.0109973332331287
BJCHF,-0.0037609944984768,0.035438271263990656,-0.1053605156578262,0.098440079236167
BJCHY,0.00032566707052636906,0.05637204867394429,-0.1881663756721857,0.1053604680122275
BJDX,-0.019986750278945368,0.03728178037329169,-0.0844172914434961,0.0647023326067644
BJINF,0.0072550513651340525,0.022714907436201862,0.0,0.0887564124316654
BJK,1.2364726145510358e-05,0.012181040942728396,-0.0194503213743973,0.0390769728996386
BJRI,-0.0005247436306652058,0.03337079546713184,-0.0817685138515949,0.069792241527933
BJUL,0.0015538110890426634,0.004350936869567116,-0.0053648401005668,0.0109935373608755
BJUN,0.0012544130170521,0.0036747852908625327,-0.0050446676252506,0.0092272611370361
BJURF,0.1941515465402497,0.8462869711010823,0.0,3.688879384264744
BJWTF,0.012003030325884137,0.0488367055113918,-0.0608883623444002,0.1548542054547909
BK,0.003554783070242737,0.010618534585364046,-0.0111347249343508,0.039417614041013
BKAG,-0.00017431737839422625,0.00305437308610132,-0.0066272142980104,0.0047574011625516
BKCH,-0.012243003145130105,0.047225766582852165,-0.0972540657743676,0.0729286723068333
